titres,adresses,liens,categorie,type,lon,lat
Maison de l'emploi et de la formation - Antenne des Pentes,"2 rue des Pierres Plantées, 69001 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-des-pentes,equipements-divers,initiatives,4.83199,45.774267
Maison de l'emploi et de la formation - Antenne Bachut,"307 avenue Berthelot, 69007 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-bachut,equipements-divers,initiatives,4.86457,45.738255
Mairie du 1er arrondissement,"2 place Sathonay, 69001 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-1er-arrondissement,mairies,initiatives,4.8302,45.7695
Mairie du 2e arrondissement,"2 rue d'Enghien, 69002 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-2e-arrondissement,mairies,initiatives,4.8269,45.7532
Restaurant Charcot,"34 rue Commandant Charcot, 69005 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-charcot,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8064,45.7551
Restaurant Jean Jaurès,"286, avenue Jean Jaurès, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-jean-jaures,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8321,45.7294
Restaurant Hénon,"64, boulevard des Canuts, 69004 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-henon,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8281,45.7804
Restaurant La Sauvegarde,"507 avenue de la Sauvegarde, 69009 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-la-sauvegarde,foyers-restaurants-pour-personnes-agees,personnes âgées,4.7912,45.7883
Restaurant Le Colombier,"13 rue Marc Bloch, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-le-colombier,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8449,45.7476
Maison de l'emploi et de la formation - Antenne des Pentes,"2 rue des Pierres Plantées, 69001 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-des-pentes,equipements-divers,initiatives,4.83199,45.774267
Maison de l'emploi et de la formation - Antenne Bachut,"307 avenue Berthelot, 69007 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-bachut,equipements-divers,initiatives,4.86457,45.738255
Mairie du 1er arrondissement,"2 place Sathonay, 69001 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-1er-arrondissement,mairies,initiatives,4.8302,45.7695
Mairie du 2e arrondissement,"2 rue d'Enghien, 69002 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-2e-arrondissement,mairies,initiatives,4.8269,45.7532
Restaurant Charcot,"34 rue Commandant Charcot, 69005 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-charcot,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8064,45.7551
Restaurant Jean Jaurès,"286, avenue Jean Jaurès, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-jean-jaures,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8321,45.7294
Restaurant Hénon,"64, boulevard des Canuts, 69004 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-henon,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8281,45.7804
Restaurant La Sauvegarde,"507 avenue de la Sauvegarde, 69009 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-la-sauvegarde,foyers-restaurants-pour-personnes-agees,personnes âgées,4.7912,45.7883
Restaurant Le Colombier,"13 rue Marc Bloch, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-le-colombier,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8449,45.7476
Restaurant Louis Pradel,"146 boulevard de la Croix Rousse, 69001 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-louis-pradel,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8305,45.7741
Restaurant Rinck,"66 cours Suchet, 69002 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-rinck,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8264,45.7454
EHPAD La Villette d'Or,"34 avenue Georges Pompidou, 69003 Lyon",https://www.lyon.fr/lieu/etablissements-personnes-agees-dependantes-ehpad/ehpad-la-villette-dor,etablissements-personnes-agees-dependantes-ehpad,personnes âgées,4.865,45.7591
EHPAD Les Balcons de l'Ile Barbe,"70, rue Pierre Termier, 69009 Lyon",https://www.lyon.fr/lieu/etablissements-personnes-agees-dependantes-ehpad/ehpad-les-balcons-de-lile-barbe,etablissements-personnes-agees-dependantes-ehpad,personnes âgées,4.8356,45.8018
EHPAD L'étoile du jour,"94 rue Pierre Valdo, 69005 Lyon",https://www.lyon.fr/lieu/etablissements-personnes-agees-dependantes-ehpad/ehpad-letoile-du-jour,etablissements-personnes-agees-dependantes-ehpad,personnes âgées,4.786,45.7509
Résidence seniors Rinck,"66, cours Suchet, 69002 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-rinck,residences-seniors,personnes âgées,4.8264,45.7453
Résidence seniors Chalumeaux,"4 rue St Vincent de Paul, 69008 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-chalumeaux,residences-seniors,personnes âgées,4.854,45.7363
Résidence seniors Charcot,"34 rue  Commandant Charcot, 69005 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-charcot,residences-seniors,personnes âgées,4.8063,45.7551
Résidence seniors Clos Jouve,"10-12, rue Dominique Perfetti, 69001 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-clos-jouve,residences-seniors,personnes âgées,4.8196,45.7713
Résidence seniors Cuvier,"152 rue Cuvier, 69006 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-cuvier,residences-seniors,personnes âgées,4.8535,45.7676
Résidence seniors Danton,"8  place Danton, 69003 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-danton,residences-seniors,personnes âgées,4.857,45.7552
Résidence seniors Hénon,"64, boulevard des Canuts, 69004 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-henon,residences-seniors,personnes âgées,4.8281,45.7805
Résidence seniors Jean Jaurès,"286 avenue Jean Jaurès, 69007 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-jean-jaures,residences-seniors,personnes âgées,4.832,45.7292
Résidence seniors Jean Zay,"5 rue Jean Zay, 69009 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-jean-zay,residences-seniors,personnes âgées,4.802,45.7673
Résidence seniors La Sauvegarde,"507 avenue de la Sauvegarde, 69009 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-la-sauvegarde,residences-seniors,personnes âgées,4.7913,45.7884
Résidence seniors Louis Pradel,"146, boulevard de la Croix-Rousse, 69001 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-louis-pradel,residences-seniors,personnes âgées,4.8305,45.7741
Résidence seniors Marc Bloch,"13 rue Marc Bloch, 69007 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-marc-bloch,residences-seniors,personnes âgées,4.8449,45.7475
Résidence seniors Marius Bertrand,"14 rue Hermann Sabran, 69004 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-marius-bertrand,residences-seniors,personnes âgées,4.8228,45.784
Résidence seniors Renée Jolivot,"1 rue Jean Sarrazin, 69008 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-renee-jolivot,residences-seniors,personnes âgées,4.8706,45.734
Résidence seniors Thiers,"171 avenue Thiers, 69006 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-thiers,residences-seniors,personnes âgées,4.8621,45.7655
Centre des Congrès de Lyon,"50 quai Charles de Gaulle, 69006 Lyon",https://www.lyon.fr/lieu/centres-de-congres/centre-des-congres-de-lyon,centres-de-congres,initiatives,4.8545,45.7853
Consulat d'Allemagne,"33, boulevard des Belges, 69458 Lyon cedex 06",https://www.lyon.fr/lieu/consulats/consulat-dallemagne,consulats,initiatives,4.8497,45.7743
Consulat du Bénin,"95, avenue Maréchal de Saxe, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-benin,consulats,initiatives,4.8459,45.76
Consulat du Brésil,"63 avenue de Saxe, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-bresil,consulats,initiatives,4.843,45.7622
Consulat du Burkina Faso,"38, avenue Maréchal de Saxe, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-burkina-faso,consulats,initiatives,4.8443,45.7655
Consulat de la République de Côte d Ivoire,"58, avenue Maréchal Foch, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-la-republique-de-cote-d-ivoire,consulats,initiatives,4.8441,45.7689
Consulat des Etats-Unis d'Amérique,"1, quai Jules Courmont, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-des-etats-unis-damerique,consulats,initiatives,4.838,45.7629
Consulat de Finlande,"3 rue de la Barre, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-finlande,consulats,initiatives,4.8328,45.7578
Consulat du Gabon,"3, rue de Sévigné, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-gabon,consulats,initiatives,4.8438,45.7597
Consulat de Grande-Bretagne,",",https://www.lyon.fr/lieu/consulats/consulat-de-grande-bretagne,consulats,initiatives,4.837,45.76
Consulat de Grèce,"7, rue Barrême, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-grece,consulats,initiatives,4.8443,45.7744
Consulat d'Islande,"170, boulevard Stalingrad, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-dislande,consulats,initiatives,4.8446,45.7743
Consulat d'Italie,"5, rue Commandant Faurax, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-ditalie,consulats,initiatives,4.843,45.7752
Consulat du Grand Duché du Luxembourg,"6, rue Grolée, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-grand-duche-du-luxembourg,consulats,initiatives,4.8366,45.7627
Consulat de Madagascar,"3, rue Amédée Bonnet, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-madagascar,consulats,initiatives,4.8575,45.769
Consulat du Mali,",",https://www.lyon.fr/lieu/consulats/consulat-du-mali,consulats,initiatives,4.8352,45.7484
Consulat du Maroc,"2-4, rue Carry, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-maroc,consulats,initiatives,4.8715,45.7548
Consulat du Mexique,"6, place Bellecour, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-mexique,consulats,initiatives,4.8058,45.7686
Consulat des Pays-Bas,"104, rue Président Edouard Herriot, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-des-pays-bas,consulats,initiatives,4.8338,45.7584
Consulat de Pologne,"79, rue Crillon, 69458  Lyon Cedex 06",https://www.lyon.fr/lieu/consulats/consulat-de-pologne,consulats,initiatives,4.852,45.7711
Consulat de la République Tchèque,"136 rue Sully, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-la-republique-tcheque,consulats,initiatives,4.8522,45.7625
Consulat de Roumanie,"29, rue de Bonnel, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-roumanie,consulats,initiatives,4.8458,45.7618
Consulat du Sénégal,"97, rue Garibaldi, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-senegal,consulats,initiatives,4.85117,45.76655
Consulat de Suède,"107, rue Servient, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-suede,consulats,initiatives,4.846,45.7649
Consulat du Royaume de Thaïlande,"40, rue du Plat, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-royaume-de-thailande,consulats,initiatives,4.8275,45.7559
Consulat de Tunisie,"14, avenue Maréchal Foch, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-tunisie,consulats,initiatives,4.8428,45.7728
Consulat de Turquie,"87, rue de Sèze, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-turquie,consulats,initiatives,4.852,45.7688
Centre bouddhiste Lamrim,"220 grande rue de la Guillotière, 69007 Lyon",https://www.lyon.fr/lieu/culte-bouddhiste/centre-bouddhiste-lamrim,culte-bouddhiste,culte et cimetières,4.8572,45.7475
Cimetière de la Croix-Rousse nouveau,"63 rue Philippe de Lassalle, 69004 Lyon",https://www.lyon.fr/lieu/cimetieres/cimetiere-de-la-croix-rousse-nouveau,cimetieres,culte et cimetières,4.819,45.7819
Cimetière de la Guillotière nouveau,"228 avenue Berthelot, 69008 Lyon",https://www.lyon.fr/lieu/cimetieres/cimetiere-de-la-guillotiere-nouveau,cimetieres,culte et cimetières,4.8569,45.7385
Cimetière de Loyasse ancien,"43 rue Cardinal Gerlier, 69005 Lyon",https://www.lyon.fr/lieu/cimetieres/cimetiere-de-loyasse-ancien,cimetieres,culte et cimetières,4.8118,45.7615
Cimetière de Saint-Rambert,"Montée des Balmes, 69009 Lyon",https://www.lyon.fr/lieu/cimetieres/cimetiere-de-saint-rambert,cimetieres,culte et cimetières,4.834,45.8033
Cimetière Israëlite de la Mouche,"11 rue Abraham Bloch, 69007 Lyon",https://www.lyon.fr/lieu/cimetieres/cimetiere-israelite-de-la-mouche,cimetieres,culte et cimetières,4.8426,45.7396
Eglise évangélique La Bonne Nouvelle,"38 quai St Vincent, 69001 Lyon",https://www.lyon.fr/lieu/eglises-protestantes-evangeliques/eglise-evangelique-la-bonne-nouvelle,eglises-protestantes-evangeliques,culte et cimetières,4.8263,45.7685
Eglise évangélique Baptiste,"85 cours Vitton, 69006 Lyon",https://www.lyon.fr/lieu/eglises-protestantes-evangeliques/eglise-evangelique-baptiste,eglises-protestantes-evangeliques,culte et cimetières,4.86,45.7704
Eglise évangélique de Pentecôte (Jean Macé),"2 rue de Cronstadt, 69007 Lyon",https://www.lyon.fr/lieu/eglises-protestantes-evangeliques/eglise-evangelique-de-pentecote-jean-mace,eglises-protestantes-evangeliques,culte et cimetières,4.8428,45.7486
Eglise catholique de la Rédemption,"place Puvis de Chavannes, 69006 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-de-la-redemption,eglises-catholiques,culte et cimetières,4.845,45.7715
Eglise  catholique de l'Annonciation,"20 rue Laporte, 69009 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-de-lannonciation,eglises-catholiques,culte et cimetières,4.804,45.7787
Eglise catholique Notre-Dame de Bellecombe,"57 rue d'Inkermann, 69006 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-de-bellecombe,eglises-catholiques,culte et cimetières,4.8661,45.7662
Eglise catholique Notre-Dame de l'Assomption,"6b rue Hugues Guérin, 69008 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-de-lassomption,eglises-catholiques,culte et cimetières,4.8784,45.7258
Eglise catholique Notre-Dame des Anges,"37 rue Félix Brun, 69007 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-des-anges,eglises-catholiques,culte et cimetières,4.8323,45.7381
Eglise catholique Notre-Dame du Point du Jour,"20 rue des Aqueducs, 69005 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-du-point-du-jour,eglises-catholiques,culte et cimetières,4.7956,45.7582
Eglise catholique Notre-Dame-Saint-Louis,"1 rue de la Madeleine, 69007 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-saint-louis,eglises-catholiques,culte et cimetières,4.8481,45.7505
Eglise catholique Notre-Dame de Bon Secours,"1 place du Château, 69003 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-de-bon-secours,eglises-catholiques,culte et cimetières,4.888,45.7497
Eglise orthodoxe de France,"9 montée des Carmes Déchaussés, 69005 Lyon",https://www.lyon.fr/lieu/eglises-orthodoxes/eglise-orthodoxe-de-france,eglises-orthodoxes,culte et cimetières,4.8264,45.7658
Eglise orthodoxe française St Jean le Théologien,"16 rue du Boeuf, 69005 Lyon",https://www.lyon.fr/lieu/eglises-orthodoxes/eglise-orthodoxe-francaise-st-jean-le-theologien,eglises-orthodoxes,culte et cimetières,4.8271,45.7629
Eglise orthodoxe hellénique (Constantinople),"45 rue Père Chevrier, 69007 Lyon",https://www.lyon.fr/lieu/eglises-orthodoxes/eglise-orthodoxe-hellenique-constantinople,eglises-orthodoxes,culte et cimetières,4.8461,45.7478
Eglise orthodoxe russe Saint Nicolas (Synode),"5 rue Ste Geneviève, 69006 Lyon",https://www.lyon.fr/lieu/eglises-orthodoxes/eglise-orthodoxe-russe-saint-nicolas-synode,eglises-orthodoxes,culte et cimetières,4.8648,45.7678
Eglise réformée - Grand Temple,"3 quai Victor Augagneur, 69003 Lyon",https://www.lyon.fr/lieu/eglises-protestantes-reformees/eglise-reformee-grand-temple,eglises-protestantes-reformees,culte et cimetières,4.8414,45.7619
Église Protestante Unie de Lyon-Terreaux,"10 rue Lanterne, 69001 Lyon",https://www.lyon.fr/lieu/eglises-protestantes-reformees/eglise-protestante-unie-de-lyon-terreaux,eglises-protestantes-reformees,culte et cimetières,4.8316,45.7666
Eglise catholique du Sacré-Coeur,"89 rue Antoine Charial, 69003 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-du-sacre-coeur,eglises-catholiques,culte et cimetières,4.8694,45.7582
Eglise catholique Saint-Antoine,"302 avenue Jean Jaurès, 69007 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-antoine,eglises-catholiques,culte et cimetières,4.8316,45.7288
Eglise catholique Saint-Augustin,"35 Rue Jacquard, 69004 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-augustin,eglises-catholiques,culte et cimetières,4.8245,45.7759
Eglise catholique Saint-Bonaventure,"7 place des Cordeliers, 69002 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-bonaventure,eglises-catholiques,culte et cimetières,4.8368,45.7632
Eglise catholique Saint-Eucher,"68 rue Eugène Pons, 69004 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-eucher,eglises-catholiques,culte et cimetières,4.8399,45.7797
Eglise catholique Saint-François d'Assise,"6 place Schönberg, 69009 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-francois-dassise,eglises-catholiques,culte et cimetières,4.8267,45.7998
Eglise catholique Saint-François de Sales,"11 rue Auguste Comte, 69002 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-francois-de-sales,eglises-catholiques,culte et cimetières,4.8316,45.7553
Eglise catholique Saint-Jacques,"89 boulevard des Etats Unis, 69008 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-jacques,eglises-catholiques,culte et cimetières,4.8671,45.7313
Eglise catholique Saint-Martin d'Ainay,"11 rue Bourgelat, 69002 Lyon",https://www.lyon.fr/lieu/moyen-age/eglise-catholique-saint-martin-dainay,moyen-age,culte et cimetières,4.8273,45.7536
Eglise catholique Saint-Maurice,"13 rue Saint Maurice, 69008 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-maurice,eglises-catholiques,culte et cimetières,4.8683,45.7435
Eglise catholique Saint-Michel,"45 avenue Berthelot, 69007 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-michel,eglises-catholiques,culte et cimetières,4.8391,45.7463
Eglise catholique Saint-Nizier,"10 rue Saint Nizier, 69002 Lyon",https://www.lyon.fr/lieu/moyen-age/eglise-catholique-saint-nizier,moyen-age,culte et cimetières,4.8335,45.7647
Eglise catholique Saint-Nom de Jésus,"91 rue Tête d'Or, 69006 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-nom-de-jesus,eglises-catholiques,culte et cimetières,4.8531,45.7666
Eglise catholique Saint-Paul,"3 place Gerson, 69005 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-paul,eglises-catholiques,culte et cimetières,4.827,45.7666
Eglise catholique Saint-Pierre de Vaise - Saint-Pierre aux Liens,"3 boulevard Antoine de Saint-Exupéry, 69009 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-pierre-de-vaise-saint-pierre-aux-liens,eglises-catholiques,culte et cimetières,4.8083,45.7731
Eglise catholique Saint-Pothin,"place Edgar Quinet, 69006 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-saint-pothin,eglises-catholiques,culte et cimetières,4.8458,45.7661
Eglise catholique St Vincent de Paul,"2 impasse du Presbytère, 69008 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-st-vincent-de-paul,eglises-catholiques,culte et cimetières,4.8523,45.7355
Eglise catholique Sainte-Anne de Ménival,"43 avenue de Ménival, 69005 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-sainte-anne-de-menival,eglises-catholiques,culte et cimetières,4.7826,45.7563
Eglise catholique Sainte-Blandine,"Place de l'Hippodrome, 69002 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-sainte-blandine,eglises-catholiques,culte et cimetières,4.8235,45.745
Eglise catholique Sainte-Croix,"27 rue de Condé, 69002 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-sainte-croix,eglises-catholiques,culte et cimetières,4.8299,45.7513
Eglise catholique Sainte-Elisabeth,"89 rue Henon, 69004 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-sainte-elisabeth,eglises-catholiques,culte et cimetières,4.821,45.7793
Eglise catholique Sainte-Jeanne d'Arc,"19 rue Jeanne d'Arc, 69003 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-sainte-jeanne-darc,eglises-catholiques,culte et cimetières,4.8775,45.7518
Eglise catholique de la Sainte-Trinité,"111 avenue Jean Mermoz, 69008 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-de-la-sainte-trinite,eglises-catholiques,culte et cimetières,4.8833,45.7329
Grande mosquée de Lyon,"146 boulevard Pinel, 69008 Lyon",https://www.lyon.fr/lieu/culte-musulman/grande-mosquee-de-lyon,culte-musulman,culte et cimetières,4.8902,45.7368
Grande synagogue,"13 quai Tilsitt, 69002 Lyon",https://www.lyon.fr/lieu/culte-israelite/grande-synagogue,culte-israelite,culte et cimetières,4.8275,45.7572
Mosquée Koba,"10 rue Imbert Colomès, 69001 Lyon",https://www.lyon.fr/lieu/culte-musulman/mosquee-koba,culte-musulman,culte et cimetières,4.8326,45.7713
Eglise catholique Notre-Dame-Saint-Vincent,"58 quai Saint-Vincent, 69001 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-saint-vincent,eglises-catholiques,culte et cimetières,4.8296,45.7675
Eglise catholique Notre-Dame du Monde Entier,"240 avenue du Plateau, 69009 Lyon",https://www.lyon.fr/lieu/eglises-catholiques/eglise-catholique-notre-dame-du-monde-entier,eglises-catholiques,culte et cimetières,4.7939,45.7832
Synagogue Chaaré Tsédek,"18 rue St-Mathieu, 69008 Lyon",https://www.lyon.fr/lieu/culte-israelite/synagogue-chaare-tsedek,culte-israelite,culte et cimetières,4.8633,45.7427
Synagogue Neveh Chalom,"317 rue Duguesclin, 69007 Lyon",https://www.lyon.fr/lieu/culte-israelite/synagogue-neveh-chalom,culte-israelite,culte et cimetières,4.8507,45.7515
Synagogue Rav Hida,"La Sauvegarde  La Duchère, 69009 Lyon",https://www.lyon.fr/lieu/culte-israelite/synagogue-rav-hida,culte-israelite,culte et cimetières,4.7916,45.7882
A Thou Bout d'Chant,"rue de Thou, 69001 Lyon",https://www.lyon.fr/lieu/salles-de-concerts/thou-bout-dchant,salles-de-concerts,culture,4.8366,45.7698
Cinéma Astoria UGC,"31 cours Vitton, 69006 Lyon",https://www.lyon.fr/lieu/cinemas-generalistes/cinema-astoria-ugc,cinemas-generalistes,divertissement,4.8514,45.7695
Auditorium - Orchestre National de Lyon,"149 rue Garibaldi, 69003 Lyon",https://www.lyon.fr/lieu/salles-de-concerts/auditorium-orchestre-national-de-lyon,salles-de-concerts,culture,4.8527,45.7618
Bibliothèque de la Part-Dieu,"30 boulevard Marius Vivier Merle, 69003 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-de-la-part-dieu,bibliotheques,culture,4.8572,45.7604
Bibliothèque du 1er arrondissement,"7 rue Saint-Polycarpe, 69001 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-1er-arrondissement,bibliotheques,culture,4.8344,45.769
Bibliothèque du 2ème arrondissement,"13 rue de Condé, 69002 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-2eme-arrondissement,bibliotheques,culture,4.826,45.7523
Bibliothèque du 3ème arrondissement - Duguesclin,"246 rue Duguesclin, 69003 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-3eme-arrondissement-duguesclin,bibliotheques,culture,4.849,45.7586
Bibliothèque du 4ème arrondissement,"12 rue de Cuire, 69004 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-4eme-arrondissement,bibliotheques,culture,4.8307,45.776
Bibliothèque du 5ème arrondissement - St Jean,"4 avenue Adolphe Max, 69005 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-5eme-arrondissement-st-jean,bibliotheques,culture,4.8277,45.7601
Bibliothèque du 6ème arrondissement - Clémence Lortet,"35-37 rue Bossuet, 69006 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-6eme-arrondissement-clemence-lortet,bibliotheques,culture,4.8494,45.7679
Bibliothèque du 7ème arrondissement - Guillotière,"25 rue Béchevelin, 69007 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-7eme-arrondissement-guillotiere,bibliotheques,culture,4.8425,45.753
Bibliothèque du 7ème arrondissement - Jean Macé,"2 rue Domer, 69007 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-7eme-arrondissement-jean-mace,bibliotheques,culture,4.8435,45.7465
Médiathèque du Bachut - Marguerite Duras,"2 place du 11 novembre 1918, 69008 Lyon",https://www.lyon.fr/lieu/bibliotheques/mediatheque-du-bachut-marguerite-duras,bibliotheques,culture,4.8679,45.7372
Bibliothèque du 9ème arrondissement - La Duchère,"4 place de l' Abbé Pierre, 69009 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-9eme-arrondissement-la-duchere,bibliotheques,culture,4.79336,45.786694
Bibliothèque du 9ème arrondissement - Saint Rambert,"3 place Bernard Schönberg, 69009 Lyon",https://www.lyon.fr/lieu/bibliotheques/bibliotheque-du-9eme-arrondissement-saint-rambert,bibliotheques,culture,4.826,45.8
Le Carré 30,"12 rue Pizay, 69001 Lyon",https://www.lyon.fr/lieu/theatre/le-carre-30,theatre,divertissement,4.8352,45.7668
Centre d'Histoire de la Résistance et de la Déportation,"14 avenue Berthelot, 69007 Lyon",https://www.lyon.fr/lieu/musees/centre-dhistoire-de-la-resistance-et-de-la-deportation,musees,culture,4.836,45.7464
Chapelle de la Trinité,"30 rue de la Bourse, 69002 Lyon",https://www.lyon.fr/lieu/salles-de-concerts/chapelle-de-la-trinite,salles-de-concerts,culture,4.837,45.7655
