titres,adresses,liens,categorie,type,lon,lat
Lycée Don Bosco,"12-24 Montée Saint Laurent, 69005 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-don-bosco,lycees-prives-sous-contrat,enseignement,4.8192,45.7519
Lycée du Parc,"1 Boulevard Anatole France, 69006 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-du-parc,lycees-publics,enseignement,4.857,45.7719
Lycée Edouard Branly,"25 rue de Tourvielle, 69005 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-edouard-branly,lycees-publics,enseignement,4.7916,45.7524
Lycée Edouard Herriot,"6 Place Edgar Quinet, 69006 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-edouard-herriot,lycees-publics,enseignement,4.8451,45.7656
Lycée - Cité scolaire internationale,"2 Place de Montréal, 69007 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-cite-scolaire-internationale,lycees-publics,enseignement,4.8215,45.7272
Lycée Jean-Baptiste de la Salle,"1 rue Neyret, 69001 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-jean-baptiste-de-la-salle,lycees-prives-sous-contrat,enseignement,4.828,45.7718
Lycée Jean Perrin,"48 rue Pierre Baizet, 69009 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-jean-perrin,lycees-publics,enseignement,4.8146,45.7935
Lycée Juliette Récamier,"57 rue de la Charité, 69002 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-juliette-recamier,lycees-publics,enseignement,4.8302,45.7495
Lycée La Favorite,"62 rue de la Favorite, 69005 Lyon",https://www.lyon.fr/lieu/lycees-prives-sous-contrat/lycee-la-favorite,lycees-prives-sous-contrat,enseignement,4.8051,45.7565
Lycée Martinière - Duchère,"300 Avenue Andrei Sakharov, 69009 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-martiniere-duchere,lycees-publics,enseignement,4.7975,45.7855
Lycée Martinière - Monplaisir,"41 rue Antoine Lumière, 69008 Lyon",https://www.lyon.fr/lieu/lycees-publics/lycee-martiniere-monplaisir,lycees-publics,enseignement,4.8685,45.7402
